occurrenceID	basisOfRecord	scientificName	eventDate	countryCode	taxonRank	kingdom	phylum	order	family	genus	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	individualCount	dataGeneralizations	country	locality	verbatimLocality	identifiedBy	datasetName	eventRemarks	Organism	organismRemarks	occurrenceStatus
sc_2018_senegal_1358	LivingSpecimen	mastomys huberti	2016/2017	SN	species	animalia	chordata	rodentia	muridae	mastomys	16.25	-15.850000381469727	EPSG:4326	1000	12	Coordinates reflect the location of the study site where the sample was collected	Senegal	Site 1	crop_field	Stefano Catalano	Data from: Rodents of Senegal and their role as intermediate hosts of Hydatigera spp. (Cestoda: Taeniidae) DOI/ISSN: 10.1017/S0031182018001427	NA	taenia	Assayed using PCR. Number of individuals tested = 172. Number of individuals positive = 19	Present
gd_2015_multiple_4808	LivingSpecimen	mastomys natalensis	1990/2013	SN	species	animalia	chordata	rodentia	muridae	mastomys	13.300000190734863	-13.083333015441895	EPSG:4326	1000	8	Coordinates reflect the location of the study site where the sample was collected	Senegal	Diakhaba	houses, natural_habitat	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 8. Number of individuals positive = 0	Absent
gd_2015_multiple_2126	LivingSpecimen	arvicanthis niloticus	2002	SN	species	animalia	chordata	rodentia	muridae	arvicanthis	13.716666221618652	-16.399999618530273	EPSG:4326	1000	5	Coordinates reflect the location of the study site where the sample was collected	Senegal	Dielmo-2	houses	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 5. Number of individuals positive = 0	Absent
fc_2014_guinea_18327	LivingSpecimen	taterillus gracilis	2002/2004	GN	species	animalia	chordata	rodentia	muridae	taterillus	8.557666778564453	-9.486666679382324	EPSG:4326	1000	5	Coordinates reflect the location of the study site where the sample was collected	Guinea	Macenta	NA	Elisabeth Fichet-Calvet	Data from: Lassa Serology in Natural Populations of Rodents and Horizontal Transmission DOI/ISSN: 10.1089/vbz.2013.1484	NA	lassa mammarenavirus	Assayed using Serology. Number of individuals tested = 5. Number of individuals positive = 0	Absent
ao_2018_nigeria_1516	LivingSpecimen	mastomys natalensis	2011/2012	NG	species	animalia	chordata	rodentia	muridae	mastomys	7.088500022888184	11.09666633605957	EPSG:4326	1000	24	Coordinates reflect the location of the study site where the sample was collected	Nigeria	Ngel Nyaki	rural_houses, rural_sylvatic	Ayodeji Olayemi	Data from: Widespread arenavirus occurrence and seroprevalence in small mammals, Nigeria DOI/ISSN: 10.1186/s13071-018-2991-5	NA	arenaviridae	Assayed using PCR. Number of individuals tested = 24. Number of individuals positive = 0	Absent
cd_2017_senegal_1901	LivingSpecimen	mus musculus	2017	SN	species	animalia	chordata	rodentia	muridae	mus	16.4	-14.32	EPSG:4326	1000	50	Coordinates reflect the location of the study site where the sample was collected	Senegal	Haere Lao	buildings	Christophe Diagne	Data from: Ecological and sanitary impacts of bacterial communities associated to biological invasions in African commensal rodent communities DOI/ISSN: 10.1038/s41598-017-14880-1	No dates supplied in publication, year of publication used	mycoplasma	Assayed using PCR. Number of individuals tested = 50. Number of individuals positive = 14	Present
ao_2018_nigeria_1486	LivingSpecimen	rattus rattus	2012	NG	species	animalia	chordata	rodentia	muridae	rattus	6.738166809082031	6.103000164031982	EPSG:4326	1000	3	Coordinates reflect the location of the study site where the sample was collected	Nigeria	Ekpoma	urban_houses	Ayodeji Olayemi	Data from: Widespread arenavirus occurrence and seroprevalence in small mammals, Nigeria DOI/ISSN: 10.1186/s13071-018-2991-5	NA	arenaviridae	Assayed using PCR. Number of individuals tested = 3. Number of individuals positive = 0	Absent
gd_2015_multiple_5808	LivingSpecimen	mastomys natalensis	2004-1/2004-2	BJ	species	animalia	chordata	rodentia	muridae	mastomys	10.850000381469727	2.133333444595337	EPSG:4326	1000	38	Coordinates reflect the location of the study site where the sample was collected	Benin	Boutere	houses, natural_habitat	Georges Diatta	Data from: Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows DOI/ISSN: 10.1016/j.actatropica.2015.08.016	NA	borrelia	Assayed using Histology. Number of individuals tested = 20. Number of individuals positive = 0	Absent
ds_2010_mali_17205	LivingSpecimen	mastomys erythroleucus	2009-6	ML	species	animalia	chordata	rodentia	muridae	mastomys	11.033333778381348	-5.983333110809326	EPSG:4326	1000	1	Coordinates reflect the location of the study site where the sample was collected	Mali	N'Tessoni	village	David Safronetz	Data from: Detection of Lassa Virus, Mali DOI/ISSN: 10.3201/eid1607.100146	NA	lassa mammarenavirus	Assayed using PCR. Number of individuals tested = 1. Number of individuals positive = 0	Absent
ei_1995_nigeria_17866	LivingSpecimen	mastomys natalensis	1992/1993	NG	species	animalia	chordata	rodentia	muridae	mastomys	8.141666412353516	8.7910003662109375	EPSG:4326	1000	56	Coordinates reflect the location of the study site where the sample was collected	Nigeria	Keana	houses, fields, secondary_forest	E Ikeh	Data from: Mastomys natalensis and Tatera gambiana as probable reservoirs of human cutaneous leishmaniasis in Nigeria. DOI/ISSN: 10.1016/0035-9203(95)90642-8	NA	leishmania major	Assayed using Culture. Number of individuals tested = 56. Number of individuals positive = 4	Present
